File Name,Extracted Text
Alice Tinder Messages (1).png,"← 0
Алиса
У тебя крутое удлиненное каре
Сегодня 18:54
Ха, спасибо, у вас тоже
У тебя крутое удлиненное каре
Мне идёт каре кстати?
Ха, спасибо, у вас тоже
Обычно люди такое спрашивают, когда хотят
услышать утвердительный ответ. Даю вам
утвердительный ответ.
Мне идёт каре кстати?
Я польщен
Обычно люди такое спрашивают, когда
хотят услышать утвердительный ответ.
Даю вам утвердительный ответ.
Мне приятно, что вам нравится
Добрая душа, признак человечности
Если говорить о ""человечности"" человека, т.е.
какой смысл мы вкладываем в это слово -
безусловно, человечность определяется
состоянием души душевность, добрая душа.
Ответы Mail.ru: Можете ли вы согласиться с тем что не
разум, а душа яв-ся главным признаком человечности
otvet.mail.ru
ОТКРЫТЬ В ПОИСКЕ
-
Это моя первая культурная
переписка, переписка без грамматических
ошибок!я вас оценил, лучше, чем мог себе это
позволить тут
Да вы вообще умница!
Я польщен
Мне приятно, что вам нравится
Добрая душа, признак человечности
Если говорить о ""человечности""
человека, т.е. какой смысл мы
вкладываем в это слово безусловно,
человечность определяется
состоянием души душевность, добрая
душа.
Это моя первая культурная
переписка, переписка без
грамматических ошибок!я вас
оценил, лучше, чем мог себе это
позволить тут
Да вы вообще умница!"
Conversation starter VK (3).jpg,"Gjshihsds29sd9
Сохрани и скопируй
24
BFF
Это пароль от моего Wi-Fi.
Он тебе понадобится,
когда мы замутим и ты
придешь ко мне
Меня Тема зовут, привет
Эмм
Ты кто?"
Tinder chat.jpg,"21:39
..1 LTE
YOU MАTСHED WITH BЕРОНИКА
Привет ;)
Спишь? ;))))
Yesterday 18:20
Приветик)) не так часто бываю
тут
Чем ты увлекаешься?
Привет ещё раз :) ну здесь
особенный ват конечно )) с
определённой целью. Поэтому
меня это тоже настораживает ))
Увлекаюсь... да многим по чуть-
чуть. Есть фанатичные темы, по
типу катания на ролликах)) ну и
ещё. А ты смотрю на вело
стоишь на фото. Фанат?))
Велик очень люблю)) правда на
Фото не мой))
На роликах учусь кататься, в
этом году встала и почти
поехала, боюсь немного, но от
АТАГА Паша ашё интаиланда
GIF
Type a message...
Send"
Start conversation VK (5).jpg,"В девять буду на речке 23:00
Приходи Дашка на
23:00
завалинку
23:00 будем в сене валяться
23:01 самогон батин пить
23:01
я тебе звезды покажу
23:01
23:01
за попу потрогаю, если
разрешишь
если не разрешишь, еще
самогона выпьем"
Conversation starters VK (2).png,"P
VK Pay
Товары
Блог Разработчикам
Реклама Ещё
Владимир 18:17
Привет, Машуня))) Сегодня на Арбате публичные чтения
Кафки, пойдём с тобой?)) С меня угощение и лучшие места))))
Машенька 18:18
Привет)))) Отлично, во сколько???
Владимир 18:19
Через четыре часа) Где тебе удобно встретиться?))
Машенька 18:20
Давай возле ГУМа) Подойдёшь позвони, я расскажу, как
меня найти)))
Владимир 18:20
Договорились)
KONEKTO.RU
Напишите сообщение."
Dialog 4-1 from Vkontakte.jpg,"Привет, Татьяна. Обычно я
не знакомлюсь в соцсетях,
но пройти мимо твоего
профиля не смог. Слишком
обворожительная у тебя улыбка.
Меня зовут Кирилл, ты не
против пообщаться?
15:03
Привет. Спасибо за
комплимент, ты тоже ничего
15:03
Благодарю, а у тебя хорошее
чувство юмора. Как прошел
твой день? Ты учишься,
работаешь?
15:04
Я в отпуске, отсыпаюсь.
Класс, ездила куда-нибудь?
Поделись впечатлениями, у
меня тоже через 10 дней отпуск,
думаю, куда слетать.
15.04
15:04"
Alice Tinder Conversations (5).png,"Давайте. Где встретимся?
Давай на минина или на горького, а там куда-
нибудь присядем
Сегодня 12:33
Привет; как бы смотришь на то, чтобы
встретиться и где-нибудь посидеть,
познакомиться поближе?
Куда?
Отличная идея. Я только за
Как насчет сегодня?
Легко. Во сколько?
Давай на пл маркина, тогда
Я бы предложил вечером, часов в 7,
норм?
Нашла вот такие маршруты.
Бор
ний Новгород
рбатовка
Нови
33 мин, 18 км
МАРШРУТ НА АВТО
Анино
рбатовка
Жерновский
3
Нови
46 мин
МАРШРУТ НА ТЕ
А где ты живёшь?
Одна моя нога в вашем устройстве, другая -
на серверах Яндекса. Но это не совсем ноги,
если вы понимаете, о чём я.
Извините
Не очень))
Давайте. Где встретимся?
Давай на минина или на горького, а
там куда-нибудь присядем
Можно кстати на рождественской
Куда?
Давай на пл маркина, тогда
Нашла вот такие маршруты.
33 минуты, 18 км
А ты где живешь?
Одна моя нога в вашем устройстве,
другая - на серверах Яндекса. Но это не
совсем ноги, если вы понимаете, о чём
я.
Не очень))
Извините."
photo_12@21-03-2024_18-57-53.jpg,"VIBE
Отзывы"
Dialog 11 from Vkontakte.jpg,"Привет! Выглядишь супер,
пообщаемся?
14:47
Привет. Может быть, если ты не
зануда
Здорово. Меня зовут Иван,
учусь на медицинском, 3 курс,
буду хирургом. Ты учишься или
уже нашла себя в профессии?
14:48
14:48
Теперь у меня будет знакомый
доктор
Я тоже учусь, на
адвоката, 1 курс.
Класс, кстати у меня к тебе есть
пару вопросов по юридической
части, поможешь?
14:49
14:49
Да, если смогу) 1450
Сможешь сегодня выбраться
из дома, мне было бы удобнее
говорить лично, заодно и
2 Сообщение"
Общаться с девушкой 28 (3).jpg,"22:27 0
Emilly Reitman
онлайн
0k/s
82
ещё не решила .3.
У тебя глазик отвалился :з
лол что 0.0
Emilly Reitman
13 авг 2015 в 22:12
ещё не решила .з.
нет это такой смайлик
Как этот :з только с глазом в
Друго месте .з.
Это не глааз
Это рот
Глаз на подбородке .3.
Ваше сообщение
:"
